matrix,n,density_pct,A_nnz,A_nnz_actual,max_row_nnz,avg_row_nnz,skew,C_nnz_flop,merge3_ms,hash_ms,ratio,hash_wins
bcsstk06,420,4.6939,8280,7860.0,28,18,1.49618320610687,163234,0.132,0.20299999999999999,1.5378787878787876,0
bcsstk07,420,4.6939,8280,7860.0,28,18,1.49618320610687,163234,0.129,0.18499999999999997,1.4341085271317826,0
bcsstk08,1074,1.2167,14034,12960.0,339,12,28.093055555555555,183382,0.912,0.46699999999999997,0.5120614035087718,1
bcsstk09,1083,1.6643,19520,18437.0,23,17,1.3510332483592777,351828,0.156,0.18500000000000003,1.1858974358974361,0
bcsstk10,1086,1.9634,23156,22070.0,27,20,1.3285908473040327,493738,0.162,0.196,1.2098765432098766,0
bcsstk11,1473,1.646,35714,34241.0,33,23,1.41961391314506,865912,0.181,0.203,1.121546961325967,0
bcsstk12,1473,1.646,35714,34241.0,33,23,1.41961391314506,865912,0.184,0.195,1.0597826086956523,0
bcsstk13,2003,2.1407,85886,83883.0,95,41,2.268457255939821,3682678,0.755,0.646,0.8556291390728477,1
bcsstk14,1806,2.0008,65260,63454.0,48,35,1.3661550099284523,2358176,0.342,0.36600000000000005,1.0701754385964912,0
bcsstk15,3948,0.7812,121764,117816.0,44,29,1.4744347117539214,3755438,0.504,0.271,0.5376984126984128,1
bcsstk16,4884,1.2378,295262,290378.0,81,59,1.362375937571028,17850050,1.556,0.465,0.29884318766066836,1
bcsstk17,10974,0.365,439624,428650.0,150,39,3.8401959640732533,17611560,1.541,0.5720000000000001,0.37118754055807923,1
bcsstk18,11948,0.1128,161038,149090.0,49,12,3.9268361392447515,2170508,0.606,0.3739999999999999,0.617161716171617,1
bcsstk19,817,1.1491,7670,6853.0,11,8,1.3113964686998394,72005,0.102,0.18599999999999997,1.8235294117647056,0
bcsstk20,485,1.539,3620,3135.0,11,6,1.7017543859649122,27019,0.096,0.183,1.90625,0
bcsstk21,3600,0.233,30200,26600.0,9,7,1.218045112781955,253344,0.155,0.2,1.2903225806451615,0
bcsstk22,138,4.3793,834,696.0,8,5,1.586206896551724,5040,0.091,0.16999999999999998,1.868131868131868,0
