matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
ns3Da,20414,N,0.403,14.016,4.908,hash,2.951,5.685,6.335,11.148,1944.03,496.691,12454346
offshore,259789,Y,0.0033,10.308,3.436,hash,2.422,3.889,4.782,16.214,DNF(big),DNF(big),23356245
ohne2,181343,N,0.0336,473.85,19.087,hash,11.941,26.669,34.148,72.334,DNF(big),DNF(big),72432047
oilpan,73752,Y,0.0337,12.97,3.049,hash,2.71,3.634,4.046,5.991,DNF(big),DNF(big),11609864
olafu,16146,Y,0.1978,4.338,1.682,hash,1.196,1.796,2.056,3.227,975.008,250.249,3388252
opt1,15449,Y,0.4077,12.701,4.103,hash,2.497,3.893,5.403,10.058,855.489,225.078,8224575
para-10,155924,N,0.0223,29.43,21.643,hash,9.162,105.388,24.071,85.554,DNF(big),DNF(big),78088896
para-4,153226,N,0.0227,27.081,15.752,hash,7.818,66.253,19.91,69.268,DNF(big),DNF(big),61572410
para-5,155924,N,0.0223,29.359,21.667,hash,9.159,105.479,23.837,172.872,DNF(big),DNF(big),78088896
para-6,155924,N,0.0223,29.3,21.693,hash,9.165,104.7,23.639,86.386,DNF(big),DNF(big),78088896
para-7,155924,N,0.0223,29.22,21.728,hash,9.177,104.637,23.798,85.442,DNF(big),DNF(big),78088896
para-8,155924,N,0.0223,29.434,21.702,hash,9.171,106.007,23.757,85.714,DNF(big),DNF(big),78088896
para-9,155924,N,0.0223,29.468,21.59,hash,9.178,105.475,23.781,85.736,DNF(big),DNF(big),78088896
patents,3774768,N,0.0001,DNF,10.171,hash,7.934,7.155,15.687,77.9,DNF(big),DNF(big),58921527
pattern1,19242,Y,1.2617,DNF,72.779,hash,76.55,708.66,288.331,1436.32,1650.66,428.02,203789090
pcrystk02,13965,Y,0.2519,4.044,1.688,hash,1.235,2.516,2.172,3.361,636.871,167.782,3925701
pcrystk03,24696,Y,0.1456,6.909,2.396,hash,1.796,2.981,3.105,5.384,3444.5,850.496,7240266
pct20stif,52329,Y,0.0502,10.257,3.041,hash,2.201,3.248,4.226,8.013,DNF(big),DNF(big),10016951
pdb1HYS,36417,Y,0.1652,361.55,8.322,hash,4.993,7.886,9.314,18.159,11052.0,2894.73,19594581
pf2177,9728,Y,0.3883,7.253,4.606,hash,2.147,9.149,7.315,14.142,213.894,53.952,19921122
pkustk01,22044,Y,0.103,4.401,1.68,hash,1.265,1.717,2.269,3.918,2453.91,626.705,3736764
pkustk02,10800,Y,0.3519,3.695,1.041,hash,1.198,1.791,2.225,3.013,290.387,72.552,2493288
pkustk03,63336,Y,0.0398,10.929,2.97,hash,2.132,3.308,3.824,6.533,DNF(big),DNF(big),8924832
pkustk04,55590,Y,0.0692,607.58,24.992,hash,20.399,128.612,72.721,110.019,DNF(big),DNF(big),164709684
pkustk05,37164,Y,0.0812,8.817,3.106,hash,2.148,3.182,3.848,7.398,11737.9,2993.63,9019080
pkustk06,43164,Y,0.0702,10.71,3.484,hash,2.469,3.451,4.289,8.265,18358.8,4720.33,10596384
pkustk07,16860,Y,0.4284,22.222,5.711,hash,3.631,6.31,8.188,14.671,1104.21,279.984,13944528
pkustk08,22209,Y,0.3293,362.534,7.658,hash,4.647,9.106,10.589,19.175,2523.05,665.583,18895419
pkustk09,33960,Y,0.0701,6.061,1.382,hash,1.309,2.199,3.336,3.997,8953.96,2240.05,4479768
pkustk10,80676,Y,0.0337,15.111,3.987,hash,2.875,4.228,4.695,8.243,DNF(big),DNF(big),12233304
pkustk11,87804,Y,0.0344,20.128,6.363,hash,4.432,6.478,7.643,15.348,DNF(big),DNF(big),21435768
pkustk12,94653,Y,0.0425,DNF,65.493,hash,68.652,682.519,202.34,DNF,DNF(big),DNF(big),474804911
pkustk13,94893,Y,0.0373,361.928,12.142,hash,7.702,10.81,12.317,26.207,DNF(big),DNF(big),39507999
pkustk14,151926,Y,0.0325,1295.405,28.052,hash,15.675,32.123,29.65,60.05,DNF(big),DNF(big),72584244
pli,22695,Y,0.1333,6.511,3.53,hash,2.071,2.504,3.394,6.194,2673.64,705.129,8548665
poisson3Db,85623,N,0.0324,11.028,4.519,hash,2.909,3.73,5.05,12.394,DNF(big),DNF(big),21855903
pre2,659033,N,0.0014,62.12,47.696,hash,15.166,43.731,51.607,98.274,DNF(big),DNF(big),323445872
pwtk,217918,Y,0.0125,402.564,8.502,hash,6.642,9.216,10.662,22.181,DNF(big),DNF(big),32772236
raefsky3,21200,N,0.3312,5.558,1.113,hash,1.237,2.566,2.319,3.543,2160.06,513.498,4053376
raefsky4,19779,Y,0.1723,5.782,2.016,hash,1.564,2.233,2.788,5.098,1774.81,465.114,5342569
rajat16,94294,N,0.0072,DNF,43.623,hash,51.522,DNF,61.163,DNF,DNF(big),DNF(big),891678715
rajat17,94294,N,0.0072,DNF,54.886,hash,51.223,DNF,59.094,DNF,DNF(big),DNF(big),891678715
rajat18,94294,N,0.0055,DNF,44.837,hash,46.499,DNF,55.627,DNF,DNF(big),DNF(big),878610938
rajat20,86916,N,0.008,DNF,39.414,hash,40.716,DNF,54.438,DNF,DNF(big),DNF(big),893444162
rajat25,87190,N,0.008,DNF,50.295,hash,41.239,DNF,54.811,DNF,DNF(big),DNF(big),898546696
rajat28,87190,N,0.008,DNF,41.271,hash,41.267,DNF,56.107,DNF,DNF(big),DNF(big),898546696
rajat31,4690002,N,0.0001,DNF,10.51,hash,6.189,5.112,29.108,106.135,DNF(big),DNF(big),53118754
ramage02,16830,Y,0.5089,352.636,6.324,hash,3.858,7.762,9.265,17.684,1084.38,280.337,14592198
rgg_n_2_19_s0,524288,Y,0.0012,6.442,5.584,hash,3.021,3.851,5.922,23.84,DNF(big),DNF(big),19604004
rgg_n_2_20_s0,1048576,Y,0.0006,13.967,10.5,hash,6.139,7.43,11.431,46.736,DNF(big),DNF(big),41709507
rgg_n_2_21_s0,2097152,Y,0.0003,34.611,20.662,hash,12.918,14.854,22.555,96.263,DNF(big),DNF(big),88491346
rgg_n_2_22_s0,4194304,Y,0.0002,513.943,41.329,hash,27.381,30.114,46.08,195.859,DNF(big),DNF(big),187016507
rma10,46835,N,0.1082,9.586,2.913,hash,2.03,3.208,3.916,7.001,23415.2,6100.68,7900917
