matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
conf5_4-8x8-20,49152,N,0.0793,8.332,2.14,hash,1.353,3.076,2.656,4.011,26734.5,6133.97,10911744
conf6_0-8x8-20,49152,N,0.0793,8.266,2.134,hash,1.345,2.889,2.622,3.971,26722.8,6130.99,10911744
conf6_0-8x8-30,49152,N,0.0793,8.307,2.135,hash,1.348,3.163,2.623,3.977,26875.1,6163.28,10911744
conf6_0-8x8-80,49152,N,0.0793,10.284,2.137,hash,1.353,3.019,2.649,3.957,26874.2,6164.03,10911744
consph,83334,Y,0.0439,155.386,7.995,hash,5.661,7.687,8.718,16.895,DNF(big),DNF(big),26539736
cop20k_A,121192,Y,0.0093,DNF,3.586,hash,1.953,3.153,4.178,9.061,DNF(big),DNF(big),18705069
crankseg_1,52804,Y,0.1913,DNF,56.956,hash,18.357,51.115,52.432,98.617,DNF(big),DNF(big),75096904
crankseg_2,63838,Y,0.1744,DNF,92.161,hash,27.778,85.686,79.271,154.237,DNF(big),DNF(big),104590168
crplat2,18010,Y,0.1509,4.021,1.076,hash,1.005,2.2,1.735,2.073,1336.37,342.317,2722222
crystk02,13965,Y,0.2519,4.412,1.794,hash,1.247,2.439,2.175,3.399,632.359,166.862,3925701
crystk03,24696,Y,0.1456,6.908,2.531,hash,1.791,3.039,3.132,5.378,3416.48,848.252,7240266
ct20stif,52329,Y,0.0502,10.177,3.192,hash,2.212,3.846,4.244,8.034,DNF(big),DNF(big),10016951
delaunay_n21,2097152,Y,0.0001,5.251,5.575,hash,3.341,6.994,8.454,50.176,DNF(big),DNF(big),43417524
delaunay_n22,4194304,Y,0.0001,9.811,10.976,hash,6.51,13.168,14.629,97.786,DNF(big),DNF(big),86836968
delaunay_n23,8388608,Y,0.0,19.678,21.771,hash,12.874,25.189,24.387,254.176,DNF(big),DNF(big),173665202
delaunay_n24,16777216,Y,0.0,184.402,43.544,hash,25.531,49.653,53.988,383.822,DNF(big),DNF(big),347322258
dielFilterV2clx,607232,Y,0.0035,883.687,39.585,hash,21.24,30.782,36.905,89.048,DNF(big),DNF(big),177614928
dielFilterV2real,1157456,Y,0.0019,DNF,65.416,hash,38.014,55.322,65.576,155.251,DNF(big),DNF(big),325027200
dielFilterV3clx,420408,Y,0.0094,DNF,105.681,hash,43.848,73.311,74.297,159.309,DNF(big),DNF(big),247299354
dielFilterV3real,1102824,Y,0.0037,DNF,,,124.564,204.656,206.522,439.344,DNF(big),DNF(big),
