matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
vsp_model1_crew1_cr42_south31,45101,Y,0.0093,381.345,,,14.858,1771.202,26.13,DNF,20981.5,5467.36,
vsp_msc10848_300sep_100in_1Kout,21996,Y,0.2524,23.518,40.571,merge3(回退),4.432,12.91,10.884,22.262,2442.8,612.99,12828344
vsp_south31_slptsk,39668,Y,0.0121,359.109,,,13.045,1772.168,25.144,DNF,14303.7,3662.43,
water_tank,60740,N,0.0552,8.263,1.797,hash,1.605,3.072,2.679,5.846,DNF(big),DNF(big),7234227
wb-edu,9845725,N,0.0001,DNF,,,1.605,92.829,224.906,2720.04,DNF(big),DNF(big),
web-BerkStan,685230,N,0.0016,23.556,21.783,hash,6.727,10.042,15.708,60.467,DNF(big),DNF(big),78350597
web-Google,916428,N,0.0006,7.766,11.857,hash,3.103,5.014,9.805,46.765,DNF(big),DNF(big),29710164
web-NotreDame,325729,N,0.0014,DNF,489.093,merge3(回退),4.386,28.53,11.829,61.972,DNF(big),DNF(big),16801350
webbase-1M,1000005,N,0.0003,9.72,409.346,merge3(回退),16.178,14.039,46.571,91.268,DNF(big),DNF(big),51111996
windscreen,22692,Y,0.1461,6.847,1.776,hash,1.539,3.061,2.763,4.805,2676.7,684.904,5613426
x104,108384,Y,0.0437,674.838,15.987,hash,9.285,14.68,16.631,35.834,DNF(big),DNF(big),38701728
xenon2,157464,N,0.0156,13.853,2.962,hash,1.613,3.933,3.572,10.65,DNF(big),DNF(big),14037210
