name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,merge,compact,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
can_187,Mildly sparse,mrg2,187,1491,0.05700000000001637,,0.01599999999996271,0.031000000000062755,,0.03499999999996817,0.019000000000005457,,,,,,0.02800000000002001,,0.012999999999919964,0.009000000000014552
bcsstm07,Mildly sparse,cu,420,7252,0.06400000000007822,,,,,,,0.049999999999954525,0.20699999999999363,0.047000000000025466,,,,,0.014999999999986358,0.08399999999994634
bcsstm07,Mildly sparse,gust,420,7252,0.06099999999992178,,0.01999999999998181,0.03200000000003911,0.024999999999977263,,,,,,0.2259999999999991,0.08600000000001273,0.053999999999973625,,0.014999999999986358,0.014000000000010004
bcsstm07,Mildly sparse,merge,420,7252,0.06200000000001182,,0.018000000000029104,0.03099999999994907,0.07299999999997908,0.29300000000000637,0.07599999999990814,,,,,,0.035000000000081855,,0.01700000000005275,0.014999999999986358
bcsstm07,Mildly sparse,mrg2,420,7252,0.06000000000005912,,0.016999999999939064,0.030000000000086402,,0.06999999999993634,0.020000000000095497,,,,,,0.029999999999972715,,0.016999999999939064,0.014000000000010004
bcsstk27,Mildly sparse,cu,1224,56126,0.10500000000001819,,,,,,,0.06100000000003547,0.48899999999991905,0.1310000000000855,,,,,0.029999999999972715,0.21000000000003638
bcsstk27,Mildly sparse,gust,1224,56126,0.1190000000000282,,0.025999999999953616,0.04000000000007731,0.18700000000001182,,,,,,0.5720000000000027,0.20299999999997453,0.34799999999995634,,0.08900000000005548,0.1029999999999518
bcsstk27,Mildly sparse,merge,1224,56126,0.10400000000004184,,0.024999999999977263,0.03899999999998727,0.40800000000001546,1.1730000000000018,0.16200000000003456,,,,,,0.19799999999997908,,0.09000000000003183,0.1029999999999518
bcsstk27,Mildly sparse,mrg2,1224,56126,0.10799999999994725,,0.02400000000000091,0.04000000000007731,,0.28499999999996817,0.14699999999993452,,,,,,0.03600000000005821,,0.07400000000006912,0.10099999999999909
bcsstm27,Mildly sparse,cu,1224,56126,0.07799999999997453,,,,,,,0.055000000000063665,0.44299999999998363,0.10000000000002274,,,,,0.01599999999996271,0.14999999999997726
bcsstm27,Mildly sparse,gust,1224,56126,0.08600000000001273,,0.020999999999958163,0.03300000000001546,0.13800000000003365,,,,,,0.5259999999999536,0.15099999999995362,0.2880000000000109,,0.06600000000003092,0.053999999999973625
bcsstm27,Mildly sparse,merge,1224,56126,0.08300000000008367,,0.020999999999958163,0.031000000000062755,0.3689999999999145,1.1140000000000327,0.1289999999999054,,,,,,0.1470000000000482,,0.06300000000010186,0.05499999999994998
bcsstm27,Mildly sparse,mrg2,1224,56126,0.07600000000002183,,0.01999999999998181,0.038000000000010914,,0.2599999999999909,0.12599999999997635,,,,,,0.031000000000062755,,0.06100000000003547,0.05200000000002092
bcsstk22,Mildly sparse,cu,138,696,0.06600000000003092,,,,,,,0.04899999999997817,0.15399999999999636,0.043000000000006366,,,,,0.014999999999986358,0.023000000000024556
bcsstk22,Mildly sparse,gust,138,696,0.06499999999994088,,0.020999999999958163,0.03600000000005821,0.018000000000029104,,,,,,0.10799999999994725,0.03499999999996817,0.04900000000009186,,0.019000000000005457,0.008999999999900865
bcsstk22,Mildly sparse,merge,138,696,0.06200000000001182,,0.020999999999958163,0.04200000000003001,0.02400000000000091,0.03999999999996362,0.02400000000000091,,,,,,0.03300000000001546,,0.01599999999996271,0.009000000000014552
bcsstk22,Mildly sparse,mrg2,138,696,0.06600000000003092,,0.018000000000029104,0.03200000000003911,,0.03099999999994907,0.020999999999958163,,,,,,0.02800000000002001,,0.014000000000010004,0.008000000000038199
bcspwr03,Mildly sparse,cu,118,476,0.06100000000003547,,,,,,,0.03899999999998727,0.14599999999995816,0.04000000000007731,,,,,0.012999999999919964,0.022000000000048203
bcspwr03,Mildly sparse,gust,118,476,0.057999999999992724,,0.016000000000076398,0.033999999999991815,0.018000000000029104,,,,,,0.041999999999916326,0.03200000000003911,0.047000000000025466,,0.012999999999919964,0.009000000000014552
